code,common_name
CRQD,Crested Quail-Dove
CBTA,Crimson-backed Tanager
CBWO,Crimson-bellied Woodpecker
CCGR,Crimson-collared Grosbeak
CCTA,Crimson-collared Tanager
CCRW,Crimson-crested Woodpecker
CFPA,Crimson-fronted Parakeet
CRTH,Crissal Thrasher
CSFL,Crowned Slaty Flycatcher
CRWO,Crowned Woodnymph
CUAM,Cuban Amazon
CUBH,Cuban Black Hawk
CUBL,Cuban Blackbird
CUBU,Cuban Bullfinch
CUCR,Cuban Crow
CUEM,Cuban Emerald
CUGN,Cuban Gnatcatcher
CUGR,Cuban Grassquit
CGWO,Cuban Green Woodpecker
CUKI,Cuban Kite
CUBM,Cuban Macaw
CUMA,Cuban Martin
CUNI,Cuban Nightjar
CUOR,Cuban Oriole
CUPC,Cuban Palm-Crow
CUPA,Cuban Parakeet
CUPE,Cuban Pewee
CUPO,Cuban Pygmy-Owl
CUSO,Cuban Solitaire
CUTO,Cuban Tody
CUTR,Cuban Trogon
CUVI,Cuban Vireo
CUSA,Curlew Sandpiper
CBTH,Curve-billed Thrasher
DATH,Dagua Thrush
DAPE,Dark Pewee
DBCU,Dark-billed Cuckoo
DEJU,Dark-eyed Junco
DSFL,Dark-sided Flycatcher
DICK,Dickcissel
DWAN,Dot-winged Antwren
DBGR,Double-banded Graytail
DCCO,Double-crested Cormorant
DSTK,Double-striped Thick-knee
DTKI,Double-toothed Kite
DOVE,Dovekie
DOWO,Downy Woodpecker
DMAN,Dull-mantled Antbird
DUNL,Dunlin
DUAN,Dusky Antbird
DUFL,Dusky Flycatcher
DUGR,Dusky Grouse
DUHU,Dusky Hummingbird
DUNI,Dusky Nightjar
DUPI,Dusky Pigeon
DSSP,Dusky Seaside-Sparrow
DUTH,Dusky Thrush
DUWA,Dusky Warbler
DBJA,Dusky-backed Jacamar
DCFL,Dusky-capped Flycatcher
DFTA,Dusky-faced Tanager
DWCU,Dwarf Cuckoo
DWJA,Dwarf Jay
DWVI,Dwarf Vireo
EADO,Eared Dove
EAGR,Eared Grebe
EAPO,Eared Poorwill
EAQU,Eared Quetzal
EBRA,Eastern Black Rail
EABL,Eastern Bluebird
EACE,Eastern Cattle-Egret
EACT,Eastern Chat-Tanager
EAKI,Eastern Kingbird
EAME,Eastern Meadowlark
EAPH,Eastern Phoebe
EASO,Eastern Screech-Owl
ESBD,Eastern Spot-billed Duck
EATO,Eastern Towhee
EAWV,Eastern Warbling-Vireo
EWPW,Eastern Whip-poor-will
EWCS,Eastern White-crowned Sparrow
EAWP,Eastern Wood-Pewee
EYWA,Eastern Yellow Wagtail
EWME,Eastern/Western Meadowlark
EGGO,Egyptian Goose
ELEU,Elegant Euphonia
ELQU,Elegant Quail
ELTE,Elegant Tern
ELTR,Elegant Trogon
ELOW,Elf Owl
EWWA,Elfin-woods Warbler
EMTA,Emerald Tanager
ECHU,Emerald-chinned Hummingbird
EMGO,Emperor Goose
ERFR,Erckel's Francolin
ESCU,Eskimo Curlew
EUFL,Euler's Flycatcher
EUBB,Eurasian Blackbird
EUBC,Eurasian Blackcap
EUBU,Eurasian Bullfinch
EUCD,Eurasian Collared-Dove
EUCO,Eurasian Coot
EUCU,Eurasian Curlew
EUDO,Eurasian Dotterel
EGOS,Eurasian Goshawk
EGWT,Eurasian Green-winged Teal
EUHO,Eurasian Hobby
EUJA,Eurasian Jackdaw
EUKE,Eurasian Kestrel
EUOY,Eurasian Oystercatcher
EUSI,Eurasian Siskin
EUSK,Eurasian Skylark
ESPA,Eurasian Sparrowhawk
ESPO,Eurasian Spoonbill
ETSP,Eurasian Tree Sparrow
EUWI,Eurasian Wigeon
EUWO,Eurasian Woodcock
EUWR,Eurasian Wryneck
EUGP,European Golden-Plover
EGOL,European Goldfinch
EHGU,European Herring Gull
EURO,European Robin
EUST,European Starling
EUSP,European Storm-Petrel
EUTD,European Turtle-Dove
EVGR,Evening Grosbeak
EYTH,Eyebrowed Thrush
ERFL,Eye-ringed Flatbill
FADU,Falcated Duck
FTWA,Fan-tailed Warbler
FECU,Far Eastern Curlew
FAAN,Fasciated Antshrike
FTHE,Fasciated Tiger-Heron
FTFG,Fawn-throated Foliage-gleaner
FEPE,Fea's Petrel
FEFL,Fernandina's Flicker
FEHA,Ferruginous Hawk
FEPO,Ferruginous Pygmy-Owl
FISP,Field Sparrow
FIEL,Fieldfare
FBAR,Fiery-billed Aracari
FTHU,Fiery-throated Hummingbird
FICR,Fish Crow
FSSP,Five-striped Sparrow
FCTA,Flame-colored Tanager
FRTA,Flame-rumped Tanager
FTHW,Flame-throated Warbler
FLFL,Flammulated Flycatcher
FLOW,Flammulated Owl
FBVI,Flat-billed Vireo
FFSH,Flesh-footed Shearwater
FLIN,Flicker Intergrade
FGSP,Florida Grasshopper Sparrow
FLSJ,Florida Scrub-Jay
FOEL,Forest Elaenia
FOTH,Forest Thrush
FTFL,Fork-tailed Flycatcher
FTSP,Fork-tailed Storm-Petrel
FTSW,Fork-tailed Swift
FOTE,Forster's Tern
FOSP,Fox Sparrow
FRGU,Franklin's Gull
FUOW,Fulvous Owl
FUWD,Fulvous Whistling-Duck
FVEU,Fulvous-vented Euphonia
GADW,Gadwall
GAPE,Galapagos Petrel
GASH,Galapagos Shearwater
GAQU,Gambel's Quail
GWCS,Gambel's White-crowned Sparrow
GAEM,Garden Emerald
GARG,Garganey
GATH,Garnet-throated Hummingbird
GATR,Gartered Trogon
GICO,Giant Cowbird
GIKI,Giant Kingbird
GIWR,Giant Wren
GIWO,Gila Woodpecker
GIFL,Gilded Flicker
GLGU,Glaucous Gull
GWGU,Glaucous-winged Gull
GLIB,Glossy Ibis
GLTH,Glow-throated Hummingbird
GOEA,Golden Eagle
GOSW,Golden Swallow
GOVI,Golden Vireo
GBFL,Golden-bellied Flycatcher
GBCH,Golden-browed Chlorophonia
GBWA,Golden-browed Warbler
GCWA,Golden-cheeked Warbler
GCHW,Golden-cheeked Woodpecker
GCMA,Golden-collared Manakin
GCEM,Golden-crowned Emerald
GCKI,Golden-crowned Kinglet
GCRS,Golden-crowned Spadebill
GCSP,Golden-crowned Sparrow
GCRW,Golden-crowned Warbler
GFGR,Golden-fronted Greenlet
GFWO,Golden-fronted Woodpecker
GGWO,Golden-green Woodpecker
GHMA,Golden-headed Manakin
GHQU,Golden-headed Quetzal
GHOT,Golden-hooded Tanager
GNWO,Golden-naped Woodpecker
GOWO,Golden-olive Woodpecker
GWWA,Golden-winged Warbler
GBTT,Graceful Black-throated Trogon
GRWA,Grace's Warbler
GCBU,Grand Cayman Bullfinch
GCAT,Grand Cayman Thrush
GWRE,Grass Wren
GRSP,Grasshopper Sparrow
GRYF,Grassland Yellow-Finch
GRBU,Gray Bunting
GRCA,Gray Catbird
GRAE,Gray Elaenia
GRFL,Gray Flycatcher
GRAF,Gray Francolin
GRGU,Gray Gull
GRHA,Gray Hawk
GRAH,Gray Heron
GRAK,Gray Kingbird
GRNI,Gray Nightjar
GRAP,Gray Partridge
GRSF,Gray Silky-flycatcher
GRAT,Gray Thrasher
GRTR,Gray Trembler
GRVI,Gray Vireo
GRAW,Gray Wagtail
GAGT,Gray-and-gold Tanager
GBAT,Gray-backed Tern
GBWR,Gray-barred Wren
GBEH,Gray-bellied Hawk
GBCR,Gray-breasted Crake
GYBM,Gray-breasted Martin
GBWO,Gray-breasted Woodpecker
GBWW,Gray-breasted Wood-Wren
GCCU,Gray-capped Cuckoo
GCAF,Gray-capped Flycatcher
GCNU,Gray-cheeked Nunlet
GCTH,Gray-cheeked Thrush
GCBT,Gray-cheeked/Bicknell's Thrush
GCDO,Gray-chested Dove
GCBE,Gray-collared Becard
GCWR,Gray-cowled Wood-Rail
GCPT,Gray-crowned Palm-Tanager
GCRF,Gray-crowned Rosy-Finch
GRCW,Gray-crowned Woodpecker
GCYE,Gray-crowned Yellowthroat
GFPE,Gray-faced Petrel
GFQD,Gray-fronted Quail-Dove
GHEC,Gray-headed Chachalaca
GHCH,Gray-headed Chickadee
GHDO,Gray-headed Dove
GHJU,Gray-headed Junco
GHKI,Gray-headed Kite
GHPI,Gray-headed Piprites
GHET,Gray-headed Tanager
GHGU,Gray-hooded Gull
GRGO,Graylag Goose
GLHA,Gray-lined Hawk
GRSW,Gray-rumped Swift
GSFL,Gray-streaked Flycatcher
GTTA,Gray-tailed Tattler
GTCH,Gray-throated Chat
GTLE,Gray-throated Leaftosser
GANT,Great Antshrike
GRAU,Great Auk
GBHA,Great Black Hawk
GBBG,Great Black-backed Gull
GBHE,Great Blue Heron
GRCO,Great Cormorant
GCFL,Great Crested Flycatcher
GCTE,Great Crested Tern
GRCU,Great Curassow
GREG,Great Egret
GREF,Great Frigatebird
GGOW,Great Gray Owl
GGMA,Great Green Macaw
GHOW,Great Horned Owl
GREJ,Great Jacamar
GKIS,Great Kiskadee
GRKN,Great Knot
GRLC,Great Lizard-Cuckoo
GRPO,Great Potoo
GRSH,Great Shearwater
GRSK,Great Skua
GSWO,Great Spotted Woodpecker
GSTS,Great Swallow-tailed Swift
GRTI,Great Tinamou
GWHE,Great White Heron
GRAM,Greater Amakihi
GRTA,Greater Ani
GABU,Greater Antillean Bullfinch
GAEL,Greater Antillean Elaenia
GAGR,Greater Antillean Grackle
GRKF,Greater Koa-Finch
GNLA,Greater Necklaced Laughingthrush
GRPE,Greater Pewee
GRPC,Greater Prairie-Chicken
GRRO,Greater Roadrunner
GRSG,Greater Sage-Grouse
GSAP,Greater Sand-Plover
GRSC,Greater Scaup
GSGB,Greater Snow Goose Blue-morph
GSGI,Greater Snow Goose Intermediate-morph
GSGW,Greater Snow Goose White-morph
GWFG,Greater White-fronted Goose
GRYE,Greater Yellowlegs
GTGR,Great-tailed Grackle
GREH,Green Hermit
GRHE,Green Heron
GRHO,Green Honeycreeper
GRIB,Green Ibis
GRJA,Green Jay
GKIN,Green Kingfisher
GMAK,Green Manakin
GMAG,Green Mango
GREP,Green Parakeet
GRSA,Green Sandpiper
GRSV,Green Shrike-Vireo
GRET,Green Thorntail
GARK,Green-and-rufous Kingfisher
GBSP,Green-backed Sparrow
GNBM,Green-breasted Mango
